ID,Name,Generation,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Sprite URL,promedio_estadisticas
25,Pikachu,1,Electric,,35,55,40,50,50,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,53.33
26,Raichu,1,Electric,,60,90,55,90,80,110,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,80.83
27,Sandshrew,1,Ground,,50,75,85,20,30,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,50.0
28,Sandslash,1,Ground,,75,100,110,45,55,65,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,75.0
29,Nidoran F,1,Poison,,55,47,52,40,40,41,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,45.83
30,Nidorina,1,Poison,,70,62,67,55,55,56,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,60.83
31,Nidoqueen,1,Poison,Ground,90,92,87,75,85,76,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,84.17
32,Nidoran M,1,Poison,,46,57,40,40,40,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,45.5
33,Nidorino,1,Poison,,61,72,57,55,55,65,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,60.83
34,Nidoking,1,Poison,Ground,81,102,77,85,75,85,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,84.17
35,Clefairy,1,Fairy,,70,45,48,60,65,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,53.83
36,Clefable,1,Fairy,,95,70,73,95,90,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,80.5
37,Vulpix,1,Fire,,38,41,40,50,65,65,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,49.83
38,Ninetales,1,Fire,,73,76,75,81,100,100,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,84.17
39,Jigglypuff,1,Normal,Fairy,115,45,20,45,25,20,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,45.0
40,Wigglytuff,1,Normal,Fairy,140,70,45,85,50,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,72.5
41,Zubat,1,Poison,Flying,40,45,35,30,40,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,40.83
42,Golbat,1,Poison,Flying,75,80,70,65,75,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,75.83
43,Oddish,1,Grass,Poison,45,50,55,75,65,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,53.33
44,Gloom,1,Grass,Poison,60,65,70,85,75,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,65.83
45,Vileplume,1,Grass,Poison,75,80,85,110,90,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,81.67
46,Paras,1,Bug,Grass,35,70,55,45,55,25,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,47.5
47,Parasect,1,Bug,Grass,60,95,80,60,80,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,67.5
48,Venonat,1,Bug,Poison,60,55,50,40,55,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,50.83
49,Venomoth,1,Bug,Poison,70,65,60,90,75,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,75.0
50,Diglett,1,Ground,,10,55,25,35,45,95,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,44.17
51,Dugtrio,1,Ground,,35,100,50,50,70,120,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,70.83
52,Meowth,1,Normal,,40,45,35,40,40,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,48.33
53,Persian,1,Normal,,65,70,60,65,65,115,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,73.33
54,Psyduck,1,Water,,50,52,48,65,50,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,53.33
55,Golduck,1,Water,,80,82,78,95,80,85,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,83.33
56,Mankey,1,Fighting,,40,80,35,35,45,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,50.83
57,Primeape,1,Fighting,,65,105,60,60,70,95,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,75.83
58,Growlithe,1,Fire,,55,70,45,70,50,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,58.33
59,Arcanine,1,Fire,,90,110,80,100,80,95,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,92.5
60,Poliwag,1,Water,,40,50,40,40,40,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,50.0
61,Poliwhirl,1,Water,,65,65,65,50,50,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,64.17
62,Poliwrath,1,Water,Fighting,90,95,95,70,90,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,85.0
63,Abra,1,Psychic,,25,20,15,105,55,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,51.67
64,Kadabra,1,Psychic,,40,35,30,120,70,105,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,66.67
65,Alakazam,1,Psychic,,55,50,45,135,95,120,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,83.33
66,Machop,1,Fighting,,70,80,50,35,35,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,50.83
67,Machoke,1,Fighting,,80,100,70,50,60,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,67.5
68,Machamp,1,Fighting,,90,130,80,65,85,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,84.17
69,Bellsprout,1,Grass,Poison,50,75,35,70,30,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,50.0
70,Weepinbell,1,Grass,Poison,65,90,50,85,45,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,65.0
71,Victreebel,1,Grass,Poison,80,105,65,100,70,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,81.67
72,Tentacool,1,Water,Poison,40,40,35,50,100,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,55.83
73,Tentacruel,1,Water,Poison,80,70,65,80,120,100,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,85.83
74,Geodude,1,Rock,Ground,40,80,100,30,30,20,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,50.0
75,Graveler,1,Rock,Ground,55,95,115,45,45,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,65.0
76,Golem,1,Rock,Ground,80,120,130,55,65,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,82.5
77,Ponyta,1,Fire,,50,85,55,65,65,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,68.33
78,Rapidash,1,Fire,,65,100,70,80,80,105,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,83.33
79,Slowpoke,1,Water,Psychic,90,65,65,40,40,15,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,52.5
80,Slowbro,1,Water,Psychic,95,75,110,100,80,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,81.67
81,Magnemite,1,Electric,Steel,25,35,70,95,55,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,54.17
82,Magneton,1,Electric,Steel,50,60,95,120,70,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,77.5
83,Farfetchd,1,Normal,Flying,52,90,55,58,62,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,62.83
84,Doduo,1,Normal,Flying,35,85,45,35,35,75,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,51.67
85,Dodrio,1,Normal,Flying,60,110,70,60,60,110,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,78.33
86,Seel,1,Water,,65,45,55,45,70,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,54.17
87,Dewgong,1,Water,Ice,90,70,80,70,95,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,79.17
88,Grimer,1,Poison,,80,80,50,40,50,25,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,54.17
89,Muk,1,Poison,,105,105,75,65,100,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,83.33
90,Shellder,1,Water,,30,65,100,45,25,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,50.83
91,Cloyster,1,Water,Ice,50,95,180,85,45,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,87.5
92,Gastly,1,Ghost,Poison,30,35,30,100,35,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,51.67
93,Haunter,1,Ghost,Poison,45,50,45,115,55,95,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,67.5
94,Gengar,1,Ghost,Poison,60,65,60,130,75,110,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,83.33
95,Onix,1,Rock,Ground,35,45,160,30,45,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,64.17
96,Drowzee,1,Psychic,,60,48,45,43,90,42,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,54.67
97,Hypno,1,Psychic,,85,73,70,73,115,67,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,80.5
98,Krabby,1,Water,,30,105,90,25,25,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,54.17
99,Kingler,1,Water,,55,130,115,50,50,75,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,79.17
100,Voltorb,1,Electric,,40,30,50,55,55,100,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,55.0
101,Electrode,1,Electric,,60,50,70,80,80,150,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,81.67
102,Exeggcute,1,Grass,Psychic,60,40,80,60,45,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,54.17
103,Exeggutor,1,Grass,Psychic,95,95,85,125,75,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,88.33
104,Cubone,1,Ground,,50,50,95,40,50,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,53.33
105,Marowak,1,Ground,,60,80,110,50,80,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,70.83
106,Hitmonlee,1,Fighting,,50,120,53,35,110,87,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,75.83
107,Hitmonchan,1,Fighting,,50,105,79,35,110,76,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,75.83
108,Lickitung,1,Normal,,90,55,75,60,75,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,64.17
109,Koffing,1,Poison,,40,65,95,60,45,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,56.67
110,Weezing,1,Poison,,65,90,120,85,70,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,81.67
111,Rhyhorn,1,Ground,Rock,80,85,95,30,30,25,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,57.5
112,Rhydon,1,Ground,Rock,105,130,120,45,45,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,80.83
113,Chansey,1,Normal,,250,5,5,35,105,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,75.0
114,Tangela,1,Grass,,65,55,115,100,40,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,72.5
115,Kangaskhan,1,Normal,,105,95,80,40,80,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,81.67
116,Horsea,1,Water,,30,40,70,70,25,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,49.17
117,Seadra,1,Water,,55,65,95,95,45,85,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,73.33
118,Goldeen,1,Water,,45,67,60,35,50,63,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,53.33
119,Seaking,1,Water,,80,92,65,65,80,68,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,75.0
120,Staryu,1,Water,,30,45,55,70,55,85,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,56.67
121,Starmie,1,Water,Psychic,60,75,85,100,85,115,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,86.67
122,Mr Mime,1,Psychic,Fairy,40,45,65,100,120,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,76.67
123,Scyther,1,Bug,Flying,70,110,80,55,80,105,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,83.33
124,Jynx,1,Ice,Psychic,65,50,35,115,95,95,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,75.83
125,Electabuzz,1,Electric,,65,83,57,95,85,105,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,81.67
126,Magmar,1,Fire,,65,95,57,100,85,93,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,82.5
127,Pinsir,1,Bug,,65,125,100,55,70,85,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,83.33
128,Tauros,1,Normal,,75,100,95,40,70,110,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,81.67
129,Magikarp,1,Water,,20,10,55,15,20,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,33.33
130,Gyarados,1,Water,Flying,95,125,79,60,100,81,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,90.0
131,Lapras,1,Water,Ice,130,85,80,85,95,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,89.17
132,Ditto,1,Normal,,48,48,48,48,48,48,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,48.0
133,Eevee,1,Normal,,55,55,50,45,65,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,54.17
134,Vaporeon,1,Water,,130,65,60,110,95,65,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,87.5
135,Jolteon,1,Electric,,65,65,60,110,95,130,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,87.5
136,Flareon,1,Fire,,65,130,60,95,110,65,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,87.5
137,Porygon,1,Normal,,65,60,70,85,75,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,65.83
138,Omanyte,1,Rock,Water,35,40,100,90,55,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,59.17
139,Omastar,1,Rock,Water,70,60,125,115,70,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,82.5
140,Kabuto,1,Rock,Water,30,80,90,55,45,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,59.17
141,Kabutops,1,Rock,Water,60,115,105,65,70,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,82.5
142,Aerodactyl,1,Rock,Flying,80,105,65,60,75,130,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,85.83
143,Snorlax,1,Normal,,160,110,65,65,110,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,90.0
144,Articuno,1,Ice,Flying,90,85,100,95,125,85,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,96.67
145,Zapdos,1,Electric,Flying,90,90,85,125,90,100,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,96.67
146,Moltres,1,Fire,Flying,90,100,90,125,85,90,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,96.67
147,Dratini,1,Dragon,,41,64,45,50,50,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,50.0
148,Dragonair,1,Dragon,,61,84,65,70,70,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,70.0
149,Dragonite,1,Dragon,Flying,91,134,95,100,100,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,100.0
150,Mewtwo,1,Psychic,,106,110,90,154,90,130,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,113.33
151,Mew,1,Psychic,,100,100,100,100,100,100,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,100.0
152,Chikorita,2,Grass,,45,49,65,49,65,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,53.0
153,Bayleef,2,Grass,,60,62,80,63,80,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,67.5
154,Meganium,2,Grass,,80,82,100,83,100,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,87.5
155,Cyndaquil,2,Fire,,39,52,43,60,50,65,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,51.5
156,Quilava,2,Fire,,58,64,58,80,65,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,67.5
157,Typhlosion,2,Fire,,78,84,78,109,85,100,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,89.0
158,Totodile,2,Water,,50,65,64,44,48,43,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,52.33
159,Croconaw,2,Water,,65,80,80,59,63,58,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,67.5
160,Feraligatr,2,Water,,85,105,100,79,83,78,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,88.33
161,Sentret,2,Normal,,35,46,34,35,45,20,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,35.83
162,Furret,2,Normal,,85,76,64,45,55,90,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,69.17
163,Hoothoot,2,Normal,Flying,60,30,30,36,56,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,43.67
164,Noctowl,2,Normal,Flying,100,50,50,86,96,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,75.33
165,Ledyba,2,Bug,Flying,40,20,30,40,80,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,44.17
166,Ledian,2,Bug,Flying,55,35,50,55,110,85,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,65.0
167,Spinarak,2,Bug,Poison,40,60,40,40,40,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,41.67
168,Ariados,2,Bug,Poison,70,90,70,60,70,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,66.67
169,Crobat,2,Poison,Flying,85,90,80,70,80,130,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,89.17
170,Chinchou,2,Water,Electric,75,38,38,56,56,67,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,55.0
171,Lanturn,2,Water,Electric,125,58,58,76,76,67,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,76.67
172,Pichu,2,Electric,,20,40,15,35,35,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,34.17
173,Cleffa,2,Fairy,,50,25,28,45,55,15,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,36.33
174,Igglybuff,2,Normal,Fairy,90,30,15,40,20,15,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,35.0
175,Togepi,2,Fairy,,35,20,65,40,65,20,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,40.83
176,Togetic,2,Fairy,Flying,55,40,85,80,105,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,67.5
177,Natu,2,Psychic,Flying,40,50,45,70,45,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,53.33
178,Xatu,2,Psychic,Flying,65,75,70,95,70,95,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,78.33
179,Mareep,2,Electric,,55,40,40,65,45,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,46.67
180,Flaaffy,2,Electric,,70,55,55,80,60,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,60.83
181,Ampharos,2,Electric,,90,75,85,115,90,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,85.0
182,Bellossom,2,Grass,,75,80,95,90,100,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,81.67
183,Marill,2,Water,Fairy,70,20,50,20,50,40,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,41.67
184,Azumarill,2,Water,Fairy,100,50,80,60,80,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,70.0
185,Sudowoodo,2,Rock,,70,100,115,30,65,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,68.33
186,Politoed,2,Water,,90,75,75,90,100,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,83.33
187,Hoppip,2,Grass,Flying,35,35,40,35,55,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,41.67
